277,1308575,4
280,1308575,5
282,1308575,3
286,1308575,4
288,1308575,4
289,1308575,3
291,1308575,4
152,1308575,5
363,1308575,4
367,1308575,4
368,1308575,5
371,1308575,4
375,1308575,4
376,1308575,3
377,1308575,4
378,1308575,4
380,1308575,4
381,1308575,5
82,1308575,5
520,1308575,4
522,1308575,4
524,1308575,4
525,1308575,5
527,1308575,5
532,1308575,4
533,1308575,5
535,1308575,5
536,1308575,2
728,1308575,5
730,1308575,4
735,1308575,4
218,1308575,4
738,1308575,5
740,1308575,5
744,1308575,4
746,1308575,4
914,1308575,5
191,1308575,5
920,1308575,5
922,1308575,3
943,1308575,1
944,1308575,2
453,1308575,3
947,1308575,3
1071,1308575,4
1073,1308575,4
1076,1308575,4
1081,1308575,3
1082,1308575,3
1083,1308575,5
1085,1308575,5
1086,1308575,4
1095,1308575,5
1097,1308575,5
1240,1308575,3
826,1308575,4
1260,1308575,4
1436,1308575,4
1439,1308575,4
1442,1308575,4
1446,1308575,3
1607,1308575,2
1255,1308575,4
1612,1308575,4
1078,1308575,3
1616,1308575,5
1893,1308575,4
2057,1308575,5
2061,1308575,4
2063,1308575,5
2067,1308575,4
2071,1308575,5
2072,1308575,3
2324,26887153,4
2325,26887153,5
2326,26887153,3
367,26887153,3
2327,26887153,2
2328,26887153,3
2329,26887153,3
2332,26887153,4
2333,26887153,3
2334,26887153,3
2335,26887153,2
2336,26887153,4
2337,26887153,5
2338,26887153,3
351,26887153,3
2339,26887153,3
1255,26887153,4
1079,26887153,5
1590,26887153,4
728,26887153,3
947,26887153,4
1911,26887153,3
2522,26887153,3
2528,26887153,5
1078,26887153,4
2530,26887153,4
2531,26887153,4
2532,26887153,3
2538,26887153,2
2736,1294181,4
2738,1294181,4
2740,1294181,4
2741,1294181,4
2742,1294181,5
2743,1294181,3
2744,1294181,4
2745,1294181,4
2746,1294181,4
2036,1294181,5
2749,1294181,4
2750,1294181,4
2752,1294181,5
2785,26887153,3
2786,26887153,4
2787,26887153,4
2749,26887153,4
740,26887153,5
2790,26887153,3
212,26887153,4
2791,26887153,2
2792,26887153,4
2794,26887153,3
2795,26887153,2
2796,26887153,4
156,26887153,1
2797,26887153,3
2798,26887153,3
2948,1294181,5
2949,1294181,4
1318,1294181,4
2951,1294181,5
376,1294181,3
380,1294181,3
2953,1294181,4
2954,1294181,3
2955,1294181,3
2958,1294181,4
2959,1294181,3
1082,1294181,5
2961,1294181,4
2962,1294181,5
282,26887153,4
3026,26887153,2
2385,26887153,4
3030,26887153,3
3035,26887153,3
2423,26887153,1
2397,26887153,4
2741,26887153,4
3040,26887153,3
3162,1294181,4
3163,1294181,4
1347,1294181,4
312,1294181,4
3172,1294181,4
1002,1294181,3
2883,1294181,4
3183,1294181,3
3184,1294181,3
3242,26887153,4
3243,26887153,2
3244,26887153,4
3245,26887153,4
3249,26887153,4
3184,26887153,4
3252,26887153,4
2454,26887153,4
3258,26887153,4
3259,26887153,5
3435,1294181,4
669,1294181,3
3437,1294181,4
3439,1294181,5
3440,1294181,4
3441,1294181,4
1920,1294181,4
660,1294181,4
3446,1294181,5
943,1294181,3
2786,1307957,3
1911,1307957,3
1916,1307957,3
2044,1307957,3
3440,1307957,3
2138,1307957,4
3452,1307957,3
1315,1307957,3
794,1307957,4
3453,1307957,2
2959,1307957,3
3454,1307957,2
947,1307957,3
2325,1307957,4
3481,26887153,4
3482,26887153,5
1000,26887153,3
3486,26887153,3
3488,26887153,3
2096,26887153,5
3489,26887153,3
2593,26887153,4
2750,26887153,3
3643,1294181,4
3645,1294181,4
1085,1294181,4
3646,1294181,4
323,1294181,3
1086,1294181,3
3652,1294181,5
3678,1307957,4
618,1307957,5
3679,1307957,3
3680,1307957,3
3682,1307957,4
3686,1307957,3
2636,1307957,2
2352,1307957,2
3687,1307957,3
3313,1307957,4
1917,1307957,3
2675,1307957,3
2531,1307957,3
154,1307957,3
1278,1307957,4
3831,26887153,5
3832,26887153,4
3797,26887153,4
1919,26887153,4
618,26887153,5
3834,26887153,4
342,26887153,4
3837,26887153,4
520,26887153,3
1464,26887153,4
3885,1294181,4
522,1294181,3
3106,1294181,5
2129,1294181,5
1323,1294181,5
3680,1294181,3
3926,1307957,3
3927,1307957,4
1925,1307957,3
3928,1307957,3
3935,1307957,4
363,1455979,3
3171,1455979,3
3937,1307957,5
3950,1307957,4
3952,1307957,3
3953,1455979,3
1081,1455979,2
3954,1455979,3
3955,1455979,3
3957,1455979,3
3963,1455979,3
1026,1455979,4
818,1455979,3
1062,26887153,4
3312,26887153,3
2953,26887153,3
3150,26887153,3
2047,26887153,5
4123,26887153,4
943,26887153,2
4124,26887153,3
4125,26887153,3
4126,26887153,3
3850,1294181,4
4148,1294181,4
4153,1294181,4
3249,1294181,4
4144,1294181,4
1332,1294181,4
4179,1307957,5
4181,1307957,2
4189,1307957,4
4190,1307957,2
2149,1307957,3
527,1307957,3
4204,1307957,3
1923,1307957,4
2095,1307957,2
4213,1307957,3
376,1307957,3
4215,1307957,4
1240,1455979,3
4216,1455979,3
1911,1455979,2
2959,1455979,2
4217,1455979,3
1783,1455979,2
